actors,année_de_diffusion,country,description,genre,language,mention,nbr_episodes,nbr_saisons,press_score,public_score,realisator,status,time,title,years
"Jeremy Allen White,Jeremy Allen White,Ebon Moss-Bachrach",Depuis 2022, U.S.A.,"Carmen ""Carmy"" Berzatto, un jeune chef du monde de la gastronomie, est de retour à Chicago pour reprendre la direction du l'établissement familial, à la suite du suicide de son frère. Loin de son univers, Carmy doit faire face aux écrasantes responsabilités d’une petite entreprise, à un personnel récalcitrant et à des relations familiales tendues, tout en subissant les conséquences de la tragédie.","Comédie,Drame",,,28,4,4.6,4.2,Christopher Storer,En cours,30 min,The Bear : sur place ou à emporter,
"Sasha Rojen,Sasha Rojen,Paula Burrows",Depuis 2018, U.S.A.,Deux princes forment une alliance improbable avec l'elfe assassin envoyé pour les tuer et se lancent dans une quête destinée à pacifier leurs territoires.,"Aventure,Animation,Fantastique",,,45,6,4.2,5.0,"Aaron Ehasz,Justin Richmond",En cours,26 min,Le Prince des dragons,
"Christopher Meloni,Patton Oswalt,Ritchie Coster",2017 - 2019, U.S.A.,"Ex-flic devenu tueur à gages et alcoolique, Nick Sax croit perdre la tête quand une licorne animée qu'il est le seul à voir le pousse à sauver une fillette enlevée par le père Noël.","Comédie,Policier,Fantastique",,,18,2,4.2,5.0,"Brian Taylor,Grant Morrison",Annulée,42 min,Happy!,
"Sumire Morohoshi,Mariya Ise,Yuko Kaida",2019 - 2021, Japon,"Emma, Norman et Ray coulent des jours heureux à l'orphelinat Grace Field House. Entourés de leurs petits frères et soeurs, ils s'épanouissent sous l'attention pleine de tendresse de « Maman », qu'ils considérent comme leur véritable mère. Mais tout bascule le soir où ils découvrent l'abominable réalité qui se cache derrière la façade de leur vie paisible ! Ils doivent s'échapper, c'est une question de vie ou de mort !","Aventure,Animation,Epouvante-horreur",,,23,2,4.2,5.0,,Terminée,23 min,The Promised Neverland,
"Joel McHale,Danny Pudi,Gillian Jacobs",2009 - 2015, U.S.A.,"Jeff est avocat. Mais Jeff doit surtout retourner à l'université car son certificat a été invalidé. Entre les femmes au foyer fraîchement divorcées et ceux qui reprennent les études pour garder leur esprit actif, Jeff intègre une bande de joyeux drilles qui découvre les joies de la vie sur le campus. Ils en apprennent plus sur eux-mêmes que sur les cours qu'ils suivent...",Comédie,,,110,6,4.2,4.0,Dan Harmon,Terminée,22 min,Community,
,2016 - 2022, Japon,"Shigeo Kageyama, surnommé Mob, est un lycéen tout ce qu’il y a de plus ordinaire. Pourtant, il possède de puissants pouvoirs psychiques, mais il préfère rester discret, afin d’avoir une vie la plus normale possible. De plus, il comprend en grandissant que ce pouvoir peut être dangereux et qu’il augmente en même temps que sa charge émotionnelle. Mais pourra-t-il contenir longtemps ses émotions ?","Action,Animation,Comédie",,,37,3,4.2,5.0,,Terminée,24 min,Mob Psycho 100,
"Diego Tinoco,Jason Genao,Brett Gray",2018 - 2021, U.S.A.,Cette série pleine d'humour met en scène un groupe éclectique d'ados qui grandit à la dure dans les quartiers difficiles de Los Angeles.,"Comédie,Drame",,,38,4,3.5,4.2,"Eddie Gonzalez,Lauren Iungerich,Jeremy Haft",Terminée,30 min,On My Block,
"Ban Taito,Nakamura Genta,Reina Ueda",Depuis 2024, Japon,"Sung Jin Woo, un chasseur de portails de rang E, considéré comme le plus faible de tous, se rend avec une équipe dans un donjon de rang D. Cependant, alors qu'ils se retrouvent piégé dans une salle avec des monstres qui ne sont pas du tout du niveau du donjon, Jin Woo succombe. Alors qu'il pensait être mort, il se réveille à l'hôpital avec une étrange capacité : une interface virtuelle qui lui permet de devenir de plus en plus fort.","Action,Aventure,Animation,Fantastique",,,12,2,4.2,5.0,,En cours,24 min,Solo Leveling,
"Sofie Gråbøl,Nikolaj Lie Kaas,Morten Suurballe",2007 - 2012, Danemark,"Qui a violé et tué Nana Brik Larsen ? A Copenhague, la commissaire Sara Lund, mutée à Stockholm, a très peu de temps pour découvrir le meurtrier de cette jeune femme de 19 ans. Mais alors que l'enquête semble impliquer un politicien en vue, la brigade criminelle voit se multiplier les obstacles.","Drame,Thriller",,,40,3,4.2,5.0,Soren Sveistrup,Terminée,55 min,The Killing,
"Phoebe Waller-Bridge,Andrew Scott,Sian Clifford",2016 - 2019, Grande-Bretagne,"Le quotidien à la fois drôle et touchant de Fleabag, une femme à la répartie cinglante, portée sur le sexe, en colère et assaillie par le deuil, qui fait ce qu’elle peut pour survivre à la vie moderne londonienne.","Comédie,Drame",,,12,2,4.2,5.0,Phoebe Waller-Bridge,Terminée,27 min,Fleabag,
"Troian Bellisario,Ashley Benson,Lucy Hale",2010 - 2017, U.S.A.,Quatre adolescentes reçoivent de mystérieux messages d'une ancienne amie qui a disparu un an plus tôt...,Drame,,,162,7,4.2,4.0,I. Marlene King,Terminée,42 min,Pretty Little Liars,
